datetime,BTC/USDT
2022-06-01 00:00:00,31925.5
2022-06-01 01:00:00,31914.9
2022-06-01 02:00:00,31794.1
2022-06-01 03:00:00,31624.0
2022-06-01 04:00:00,31556.4
2022-06-01 05:00:00,31612.9
2022-06-01 06:00:00,31575.8
2022-06-01 07:00:00,31479.6
2022-06-01 08:00:00,31605.6
2022-06-01 09:00:00,31680.1
2022-06-01 10:00:00,31538.6
2022-06-01 11:00:00,31596.0
2022-06-01 12:00:00,31709.2
2022-06-01 13:00:00,31719.4
2022-06-01 14:00:00,31160.5
2022-06-01 15:00:00,30733.7
2022-06-01 16:00:00,30409.7
2022-06-01 17:00:00,30163.2
2022-06-01 18:00:00,30165.4
2022-06-01 19:00:00,30116.5
2022-06-01 20:00:00,29623.6
2022-06-01 21:00:00,29582.7
2022-06-01 22:00:00,29731.5
2022-06-01 23:00:00,29796.9
2022-06-02 00:00:00,29671.2
2022-06-02 01:00:00,29797.0
2022-06-02 02:00:00,29809.9
2022-06-02 03:00:00,29718.4
2022-06-02 04:00:00,29799.9
2022-06-02 05:00:00,29860.0
2022-06-02 06:00:00,29898.6
2022-06-02 07:00:00,29952.8
2022-06-02 08:00:00,29922.2
2022-06-02 09:00:00,29917.7
2022-06-02 10:00:00,30016.8
2022-06-02 11:00:00,30157.8
2022-06-02 12:00:00,30076.5
2022-06-02 13:00:00,29880.4
2022-06-02 14:00:00,30041.6
2022-06-02 15:00:00,30194.4
2022-06-02 16:00:00,30275.9
2022-06-02 17:00:00,30180.4
2022-06-02 18:00:00,30126.1
2022-06-02 19:00:00,30272.2
2022-06-02 20:00:00,30230.8
2022-06-02 21:00:00,30348.1
2022-06-02 22:00:00,30469.7
2022-06-02 23:00:00,30437.1
2022-06-03 00:00:00,30385.9
2022-06-03 01:00:00,30614.0
2022-06-03 02:00:00,30534.0
2022-06-03 03:00:00,30510.5
2022-06-03 04:00:00,30410.7
2022-06-03 05:00:00,30524.9
2022-06-03 06:00:00,30349.9
2022-06-03 07:00:00,30424.3
2022-06-03 08:00:00,30428.9
2022-06-03 09:00:00,30242.8
2022-06-03 10:00:00,29813.6
2022-06-03 11:00:00,29744.0
2022-06-03 12:00:00,29520.2
2022-06-03 13:00:00,29705.0
2022-06-03 14:00:00,29462.2
2022-06-03 15:00:00,29486.7
2022-06-03 16:00:00,29528.2
2022-06-03 17:00:00,29488.3
2022-06-03 18:00:00,29533.7
2022-06-03 19:00:00,29560.5
2022-06-03 20:00:00,29648.5
2022-06-03 21:00:00,29789.0
2022-06-03 22:00:00,29719.5
2022-06-03 23:00:00,29682.8
2022-06-04 00:00:00,29697.9
2022-06-04 01:00:00,29573.3
2022-06-04 02:00:00,29555.6
2022-06-04 03:00:00,29543.2
2022-06-04 04:00:00,29700.0
2022-06-04 05:00:00,29668.5
2022-06-04 06:00:00,29682.0
2022-06-04 07:00:00,29690.5
2022-06-04 08:00:00,29734.9
2022-06-04 09:00:00,29712.7
2022-06-04 10:00:00,29714.6
2022-06-04 11:00:00,29669.7
2022-06-04 12:00:00,29520.5
2022-06-04 13:00:00,29590.2
2022-06-04 14:00:00,29765.2
2022-06-04 15:00:00,29839.9
2022-06-04 16:00:00,29737.1
2022-06-04 17:00:00,29693.5
2022-06-04 18:00:00,29755.6
2022-06-04 19:00:00,29642.6
2022-06-04 20:00:00,29739.0
2022-06-04 21:00:00,29831.1
2022-06-04 22:00:00,29794.6
2022-06-04 23:00:00,29848.4
2022-06-05 00:00:00,29725.0
2022-06-05 01:00:00,29679.0
2022-06-05 02:00:00,29780.9
2022-06-05 03:00:00,29756.2
2022-06-05 04:00:00,29704.9
2022-06-05 05:00:00,29777.3
2022-06-05 06:00:00,29721.2
2022-06-05 07:00:00,29630.6
2022-06-05 08:00:00,29678.1
2022-06-05 09:00:00,29626.2
2022-06-05 10:00:00,29628.7
2022-06-05 11:00:00,29700.7
2022-06-05 12:00:00,29703.3
2022-06-05 13:00:00,29647.4
2022-06-05 14:00:00,29771.4
2022-06-05 15:00:00,29958.3
2022-06-05 16:00:00,29858.8
2022-06-05 17:00:00,30011.3
2022-06-05 18:00:00,29985.5
2022-06-05 19:00:00,30036.3
2022-06-05 20:00:00,29929.5
2022-06-05 21:00:00,29947.9
2022-06-05 22:00:00,30005.2
2022-06-05 23:00:00,29909.9
2022-06-06 00:00:00,30285.3
2022-06-06 01:00:00,30833.8
2022-06-06 02:00:00,30909.0
2022-06-06 03:00:00,31235.0
2022-06-06 04:00:00,31212.5
2022-06-06 05:00:00,31158.3
2022-06-06 06:00:00,31260.4
2022-06-06 07:00:00,31277.9
2022-06-06 08:00:00,31455.4
2022-06-06 09:00:00,31461.4
2022-06-06 10:00:00,31471.9
2022-06-06 11:00:00,31392.0
2022-06-06 12:00:00,31400.0
2022-06-06 13:00:00,31437.1
2022-06-06 14:00:00,31491.4
2022-06-06 15:00:00,31529.8
2022-06-06 16:00:00,31302.3
2022-06-06 17:00:00,31339.9
2022-06-06 18:00:00,31341.7
2022-06-06 19:00:00,31466.9
2022-06-06 20:00:00,31454.6
2022-06-06 21:00:00,31479.3
2022-06-06 22:00:00,31392.7
2022-06-06 23:00:00,31361.2
2022-06-07 00:00:00,30195.0
2022-06-07 01:00:00,29551.7
2022-06-07 02:00:00,29378.7
2022-06-07 03:00:00,29547.5
2022-06-07 04:00:00,29509.1
2022-06-07 05:00:00,29460.1
2022-06-07 06:00:00,29502.4
2022-06-07 07:00:00,29569.0
2022-06-07 08:00:00,29631.1
2022-06-07 09:00:00,29549.0
2022-06-07 10:00:00,29583.0
